city,city_ascii,lat,lng,country,iso3,population
Tokyo,Tokyo,35.6839,139.7744,Japan,JPN,39105000
Jakarta,Jakarta,-6.2146,106.8451,Indonesia,IDN,35362000
Manila,Manila,14.6,120.9833,Philippines,PHL,23971000
Seoul,Seoul,37.56,126.99,South Korea,KOR,22394000
Mexico City,Mexico City,19.4333,-99.1333,Mexico,MEX,21505000
Cairo,Cairo,30.0444,31.2358,Egypt,EGY,19787000
Beijing,Beijing,39.904,116.4075,China,CHN,19437000
Moscow,Moscow,55.7558,37.6178,Russia,RUS,17693000
Bangkok,Bangkok,13.75,100.5167,Thailand,THA,17573000
Dhaka,Dhaka,23.7289,90.3944,Bangladesh,BGD,16839000
Buenos Aires,Buenos Aires,-34.5997,-58.3819,Argentina,ARG,16216000
Kinshasa,Kinshasa,-4.3317,15.3139,Congo (Kinshasa),COD,15056000
Tehran,Tehran,35.7,51.4167,Iran,IRN,13819000
London,London,51.5072,-0.1275,United Kingdom,GBR,11120000
Paris,Paris,48.8566,2.3522,France,FRA,11027000
Lima,Lima,-12.06,-77.0375,Peru,PER,8992000
Luanda,Luanda,-8.8383,13.2344,Angola,AGO,8883000
Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,Malaysia,MYS,8639000
Hanoi,Hanoi,21.0245,105.8412,Vietnam,VNM,8246600
Bogotá,Bogota,4.6126,-74.0705,Colombia,COL,7743955
Dar es Salaam,Dar es Salaam,-6.8,39.2833,Tanzania,TZA,7461000
Hong Kong,Hong Kong,22.3069,114.1831,Hong Kong,HKG,7398000
Santiago,Santiago,-33.45,-70.6667,Chile,CHL,7026000
Riyadh,Riyadh,24.65,46.71,Saudi Arabia,SAU,6889000
Baghdad,Baghdad,33.35,44.4167,Iraq,IRQ,6107000
Khartoum,Khartoum,15.6031,32.5265,Sudan,SDN,6017000
Madrid,Madrid,40.4167,-3.7167,Spain,ESP,6006000
Nairobi,Nairobi,-1.2864,36.8172,Kenya,KEN,5545000
Rangoon,Rangoon,16.795,96.16,Myanmar,MMR,5430000
Washington,Washington,38.9047,-77.0163,United States,USA,5379184
Singapore,Singapore,1.3,103.8,Singapore,SGP,5271000
Abidjan,Abidjan,5.3364,-4.0267,Côte d'Ivoire,CIV,4980000
Kabul,Kabul,34.5328,69.1658,Afghanistan,AFG,4273156
Amman,Amman,31.95,35.9333,Jordan,JOR,4007526
Berlin,Berlin,52.5167,13.3833,Germany,DEU,3664088
Algiers,Algiers,36.7764,3.0586,Algeria,DZA,3415811
Addis Ababa,Addis Ababa,9.0272,38.7369,Ethiopia,ETH,3041002
Brasília,Brasilia,-15.7939,-47.8828,Brazil,BRA,3015268
Kuwait City,Kuwait City,29.375,47.98,Kuwait,KWT,2989000
Kyiv,Kyiv,50.45,30.5236,Ukraine,UKR,2963199
Sanaa,Sanaa,15.35,44.2,Yemen,YEM,2957000
Guatemala City,Guatemala City,14.6099,-90.5252,Guatemala,GTM,2934841
Rome,Rome,41.8931,12.4828,Italy,ITA,2872800
La Paz,La Paz,-16.4942,-68.1475,Bolivia,BOL,2867504
Pyongyang,Pyongyang,39.03,125.73,North Korea,PRK,2863000
Antananarivo,Antananarivo,-18.9386,47.5214,Madagascar,MDG,2610000
Santo Domingo,Santo Domingo,18.4764,-69.8933,Dominican Republic,DOM,2581827
Tashkent,Tashkent,41.3,69.2667,Uzbekistan,UZB,2497900
Ouagadougou,Ouagadougou,12.3686,-1.5275,Burkina Faso,BFA,2453496
Yaoundé,Yaounde,3.8578,11.5181,Cameroon,CMR,2440462
Accra,Accra,5.6037,-0.187,Ghana,GHA,2291352
Baku,Baku,40.3667,49.8352,Azerbaijan,AZE,2181800
Harare,Harare,-17.8292,31.0522,Zimbabwe,ZWE,2150000
Havana,Havana,23.1367,-82.3589,Cuba,CUB,2141652
Phnom Penh,Phnom Penh,11.5696,104.921,Cambodia,KHM,2129371
Mogadishu,Mogadishu,2.0408,45.3425,Somalia,SOM,2120000
Bamako,Bamako,12.6458,-7.9922,Mali,MLI,2009109
Quito,Quito,-0.22,-78.5125,Ecuador,ECU,2011388
Minsk,Minsk,53.9022,27.5618,Belarus,BLR,2009786
Caracas,Caracas,10.5,-66.9333,Venezuela,VEN,1943901
Vienna,Vienna,48.2083,16.3725,Austria,AUT,1911191
Bucharest,Bucharest,44.4,26.0833,Romania,ROU,1883425
Brazzaville,Brazzaville,-4.2667,15.2833,Congo (Brazzaville),COG,1827000
Warsaw,Warsaw,52.23,21.0111,Poland,POL,1790658
Damascus,Damascus,33.5131,36.2919,Syria,SYR,1754000
Brussels,Brussels,50.8353,4.3314,Belgium,BEL,1743000
Lusaka,Lusaka,-15.4167,28.2833,Zambia,ZMB,1742979
Budapest,Budapest,47.4983,19.0408,Hungary,HUN,1723836
Conakry,Conakry,9.538,-13.6773,Guinea,GIN,1667864
