city,city_ascii,lat,lng,country,iso3,population
Tokyo,Tokyo,35.6839,139.7744,Japan,JPN,39105000
Jakarta,Jakarta,-6.2146,106.8451,Indonesia,IDN,35362000
Delhi,Delhi,28.6667,77.2167,India,IND,31870000
Manila,Manila,14.6000,120.9833,Philippines,PHL,23971000
São Paulo,Sao Paulo,-23.5504,-46.6339,Brazil,BRA,22495000
Seoul,Seoul,37.5600,126.9900,South Korea,KOR,22394000
Mumbai,Mumbai,19.0758,72.8775,India,IND,22186000
Shanghai,Shanghai,31.1667,121.4667,China,CHN,22118000
Mexico City,Mexico City,19.4333,-99.1333,Mexico,MEX,21505000
Guangzhou,Guangzhou,23.1288,113.2590,China,CHN,21489000
Cairo,Cairo,30.0444,31.2358,Egypt,EGY,19787000
Beijing,Beijing,39.9040,116.4075,China,CHN,19437000
New York,New York,40.6943,-73.9249,United States,USA,18713220
Kolkāta,Kolkata,22.5727,88.3639,India,IND,18698000
Moscow,Moscow,55.7558,37.6178,Russia,RUS,17693000
Bangkok,Bangkok,13.7500,100.5167,Thailand,THA,17573000
Dhaka,Dhaka,23.7289,90.3944,Bangladesh,BGD,16839000
Buenos Aires,Buenos Aires,-34.5997,-58.3819,Argentina,ARG,16216000
Ōsaka,Osaka,34.7520,135.4582,Japan,JPN,15490000
Lagos,Lagos,6.4500,3.4000,Nigeria,NGA,15487000
Istanbul,Istanbul,41.0100,28.9603,Turkey,TUR,15311000
Karachi,Karachi,24.8600,67.0100,Pakistan,PAK,15292000
Kinshasa,Kinshasa,-4.3317,15.3139,Congo (Kinshasa),COD,15056000
Shenzhen,Shenzhen,22.5350,114.0540,China,CHN,14678000
Bangalore,Bangalore,12.9791,77.5913,India,IND,13999000
Ho Chi Minh City,Ho Chi Minh City,10.8167,106.6333,Vietnam,VNM,13954000
Tehran,Tehran,35.7000,51.4167,Iran,IRN,13819000
Los Angeles,Los Angeles,34.1139,-118.4068,United States,USA,12750807
Rio de Janeiro,Rio de Janeiro,-22.9083,-43.1964,Brazil,BRA,12486000
Chengdu,Chengdu,30.6600,104.0633,China,CHN,11920000
Baoding,Baoding,38.8671,115.4845,China,CHN,11860000
Chennai,Chennai,13.0825,80.2750,India,IND,11564000
Lahore,Lahore,31.5497,74.3436,Pakistan,PAK,11148000
London,London,51.5072,-0.1275,United Kingdom,GBR,11120000
Paris,Paris,48.8566,2.3522,France,FRA,11027000
Tianjin,Tianjin,39.1467,117.2056,China,CHN,10932000
Linyi,Linyi,35.0606,118.3425,China,CHN,10820000
Shijiazhuang,Shijiazhuang,38.0422,114.5086,China,CHN,10784600
Zhengzhou,Zhengzhou,34.7492,113.6605,China,CHN,10136000
Nanyang,Nanyang,32.9987,112.5292,China,CHN,10013600
Hyderābād,Hyderabad,17.3617,78.4747,India,IND,9840000
Wuhan,Wuhan,30.5872,114.2881,China,CHN,9729000
Handan,Handan,36.6116,114.4894,China,CHN,9549700
Nagoya,Nagoya,35.1167,136.9333,Japan,JPN,9522000
Weifang,Weifang,36.7167,119.1000,China,CHN,9373000
Lima,Lima,-12.0600,-77.0375,Peru,PER,8992000
Zhoukou,Zhoukou,33.6250,114.6418,China,CHN,8953172
Luanda,Luanda,-8.8383,13.2344,Angola,AGO,8883000
Ganzhou,Ganzhou,25.8292,114.9336,China,CHN,8677600
Tongshan,Tongshan,34.2610,117.1859,China,CHN,8669000
Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,Malaysia,MYS,8639000
Chicago,Chicago,41.8373,-87.6862,United States,USA,8604203
Heze,Heze,35.2333,115.4333,China,CHN,8287693
Chongqing,Chongqing,29.5500,106.5069,China,CHN,8261000
Hanoi,Hanoi,21.0245,105.8412,Vietnam,VNM,8246600
Fuyang,Fuyang,32.8986,115.8045,China,CHN,8200264
Changsha,Changsha,28.1987,112.9709,China,CHN,8154700
Dongguan,Dongguan,23.0475,113.7493,China,CHN,8142000
Jining,Jining,35.4000,116.5667,China,CHN,8081905
Jinan,Jinan,36.6667,116.9833,China,CHN,7967400
Pune,Pune,18.5196,73.8553,India,IND,7948000
Foshan,Foshan,23.0292,113.1056,China,CHN,7905700
Bogotá,Bogota,4.6126,-74.0705,Colombia,COL,7743955
Nanjing,Nanjing,32.0500,118.7667,China,CHN,7729000
Ahmedabad,Ahmedabad,23.0300,72.5800,India,IND,7717000
Changchun,Changchun,43.9000,125.2000,China,CHN,7674439
Tangshan,Tangshan,39.6292,118.1742,China,CHN,7577289
Cangzhou,Cangzhou,38.3037,116.8452,China,CHN,7544300
Dar es Salaam,Dar es Salaam,-6.8000,39.2833,Tanzania,TZA,7461000
Hefei,Hefei,31.8639,117.2808,China,CHN,7457027
Hong Kong,Hong Kong,22.3069,114.1831,Hong Kong,HKG,7398000
Shaoyang,Shaoyang,27.2418,111.4725,China,CHN,7370500
