iso3,city,country,population,city_ascii,lng,lat
JPN,Tokyo,Japan,39105000,Tokyo,139.7744,35.6839
IDN,Jakarta,Indonesia,35362000,Jakarta,106.8451,-6.2146
PHL,Manila,Philippines,23971000,Manila,120.9833,14.6
KOR,Seoul,South Korea,22394000,Seoul,126.99,37.56
MEX,Mexico City,Mexico,21505000,Mexico City,-99.1333,19.4333
EGY,Cairo,Egypt,19787000,Cairo,31.2358,30.0444
CHN,Beijing,China,19437000,Beijing,116.4075,39.904
RUS,Moscow,Russia,17693000,Moscow,37.6178,55.7558
THA,Bangkok,Thailand,17573000,Bangkok,100.5167,13.75
BGD,Dhaka,Bangladesh,16839000,Dhaka,90.3944,23.7289
ARG,Buenos Aires,Argentina,16216000,Buenos Aires,-58.3819,-34.5997
COD,Kinshasa,Congo (Kinshasa),15056000,Kinshasa,15.3139,-4.3317
IRN,Tehran,Iran,13819000,Tehran,51.4167,35.7
GBR,London,United Kingdom,11120000,London,-0.1275,51.5072
FRA,Paris,France,11027000,Paris,2.3522,48.8566
PER,Lima,Peru,8992000,Lima,-77.0375,-12.06
AGO,Luanda,Angola,8883000,Luanda,13.2344,-8.8383
MYS,Kuala Lumpur,Malaysia,8639000,Kuala Lumpur,101.6953,3.1478
VNM,Hanoi,Vietnam,8246600,Hanoi,105.8412,21.0245
COL,Bogotá,Colombia,7743955,Bogota,-74.0705,4.6126
TZA,Dar es Salaam,Tanzania,7461000,Dar es Salaam,39.2833,-6.8
HKG,Hong Kong,Hong Kong,7398000,Hong Kong,114.1831,22.3069
CHL,Santiago,Chile,7026000,Santiago,-70.6667,-33.45
SAU,Riyadh,Saudi Arabia,6889000,Riyadh,46.71,24.65
IRQ,Baghdad,Iraq,6107000,Baghdad,44.4167,33.35
SDN,Khartoum,Sudan,6017000,Khartoum,32.5265,15.6031
ESP,Madrid,Spain,6006000,Madrid,-3.7167,40.4167
KEN,Nairobi,Kenya,5545000,Nairobi,36.8172,-1.2864
MMR,Rangoon,Myanmar,5430000,Rangoon,96.16,16.795
USA,Washington,United States,5379184,Washington,-77.0163,38.9047
SGP,Singapore,Singapore,5271000,Singapore,103.8,1.3
CIV,Abidjan,Côte d'Ivoire,4980000,Abidjan,-4.0267,5.3364
AFG,Kabul,Afghanistan,4273156,Kabul,69.1658,34.5328
JOR,Amman,Jordan,4007526,Amman,35.9333,31.95
DEU,Berlin,Germany,3664088,Berlin,13.3833,52.5167
DZA,Algiers,Algeria,3415811,Algiers,3.0586,36.7764
ETH,Addis Ababa,Ethiopia,3041002,Addis Ababa,38.7369,9.0272
BRA,Brasília,Brazil,3015268,Brasilia,-47.8828,-15.7939
KWT,Kuwait City,Kuwait,2989000,Kuwait City,47.98,29.375
UKR,Kyiv,Ukraine,2963199,Kyiv,30.5236,50.45
YEM,Sanaa,Yemen,2957000,Sanaa,44.2,15.35
GTM,Guatemala City,Guatemala,2934841,Guatemala City,-90.5252,14.6099
ITA,Rome,Italy,2872800,Rome,12.4828,41.8931
BOL,La Paz,Bolivia,2867504,La Paz,-68.1475,-16.4942
PRK,Pyongyang,North Korea,2863000,Pyongyang,125.73,39.03
MDG,Antananarivo,Madagascar,2610000,Antananarivo,47.5214,-18.9386
DOM,Santo Domingo,Dominican Republic,2581827,Santo Domingo,-69.8933,18.4764
UZB,Tashkent,Uzbekistan,2497900,Tashkent,69.2667,41.3
BFA,Ouagadougou,Burkina Faso,2453496,Ouagadougou,-1.5275,12.3686
CMR,Yaoundé,Cameroon,2440462,Yaounde,11.5181,3.8578
GHA,Accra,Ghana,2291352,Accra,-0.187,5.6037
AZE,Baku,Azerbaijan,2181800,Baku,49.8352,40.3667
ZWE,Harare,Zimbabwe,2150000,Harare,31.0522,-17.8292
CUB,Havana,Cuba,2141652,Havana,-82.3589,23.1367
KHM,Phnom Penh,Cambodia,2129371,Phnom Penh,104.921,11.5696
SOM,Mogadishu,Somalia,2120000,Mogadishu,45.3425,2.0408
MLI,Bamako,Mali,2009109,Bamako,-7.9922,12.6458
ECU,Quito,Ecuador,2011388,Quito,-78.5125,-0.22
BLR,Minsk,Belarus,2009786,Minsk,27.5618,53.9022
VEN,Caracas,Venezuela,1943901,Caracas,-66.9333,10.5
AUT,Vienna,Austria,1911191,Vienna,16.3725,48.2083
ROU,Bucharest,Romania,1883425,Bucharest,26.0833,44.4
COG,Brazzaville,Congo (Brazzaville),1827000,Brazzaville,15.2833,-4.2667
